entity_name,category,category_uuid,usd,btc,txs,usd_in,btc_in,txs_in
Bybit,criminal,f88c4f4c-a9b6-11ea-b6eb-0adaa880d7fe,2829061.59,79.3714892,3440,2829061.59,79.3714892,3440
Bybit,dark market,f88c4a3b-a9b6-11ea-b6eb-0adaa880d7fe,3737644.75,101.354112,11400,3737644.75,101.354112,11400
Bybit,exchange,f88c240d-a9b6-11ea-b6eb-0adaa880d7fe,41114847258.29,1331222.825864,1568960,830080681538.74,27305014.99851,2819780
Bybit,gambling,f88c473a-a9b6-11ea-b6eb-0adaa880d7fe,116264205.67,4252.8854602,65220,116264205.67,4252.8854602,65220
Bybit,high risk exchange,f88c5069-a9b6-11ea-b6eb-0adaa880d7fe,86017146.23,3196.1658512,43320,86017146.23,3196.1658512,43320
Bybit,hyip,f88c4b56-a9b6-11ea-b6eb-0adaa880d7fe,3159646.95,114.8062464,3000,3159646.95,114.8062464,3000
Bybit,miner,f88c4bfd-a9b6-11ea-b6eb-0adaa880d7fe,3617745.68,106.1950406,1440,3617745.68,106.1950406,1440
Bybit,mixer,f88c486d-a9b6-11ea-b6eb-0adaa880d7fe,48860461.25,1417.9383004,2140,48860461.25,1417.9383004,2140
Bybit,pool,f88c491b-a9b6-11ea-b6eb-0adaa880d7fe,1159345.57,24.4902382,40,1159345.57,24.4902382,40
Bybit,ransomware,f88c4d1c-a9b6-11ea-b6eb-0adaa880d7fe,83824.04,3.4311982,220,83824.04,3.4311982,220
Bybit,services,f88c49ad-a9b6-11ea-b6eb-0adaa880d7fe,177814397.57,5586.5186684,214600,177814397.57,5586.5186684,214600
Bybit,wallet,f88c4daa-a9b6-11ea-b6eb-0adaa880d7fe,31991647.27,1127.52822,35040,31991647.27,1127.52822,35040
Bybit,UNKNOWN,,66457976111.45,1752648.658454,955300,66457976111.45,1752648.658454,955300
Byecoin,exchange,f88c240d-a9b6-11ea-b6eb-0adaa880d7fe,811.27,0.04205014,1,811.27,0.04205014,1
Byecoin,UNKNOWN,,1954709.1,65.32441567,81,1954709.1,65.32441567,81
Byex,dark market,f88c4a3b-a9b6-11ea-b6eb-0adaa880d7fe,167.58,0.0084,14,167.58,0.0084,14
Byex,exchange,f88c240d-a9b6-11ea-b6eb-0adaa880d7fe,1440823747.19,53359.56943338,21406,2616244061.76,99195.91833116,79520
Byex,gambling,f88c473a-a9b6-11ea-b6eb-0adaa880d7fe,3303.4,0.1691788,56,3303.4,0.1691788,56
Byex,high risk exchange,f88c5069-a9b6-11ea-b6eb-0adaa880d7fe,27985.9,0.6567078,42,27985.9,0.6567078,42
