entity_name,category,category_uuid,usd,btc,txs,usd_in,btc_in,txs_in
wBTCb,hyip,f88c4b56-a9b6-11ea-b6eb-0adaa880d7fe,5196.26,0.1392798,24,5196.26,0.1392798,24
wBTCb,miner,f88c4bfd-a9b6-11ea-b6eb-0adaa880d7fe,114011.98,2.92998306,402,114011.98,2.92998306,402
wBTCb,services,f88c49ad-a9b6-11ea-b6eb-0adaa880d7fe,1051264.57,31.79338188,258,1051264.57,31.79338188,258
wBTCb,wallet,f88c4daa-a9b6-11ea-b6eb-0adaa880d7fe,531.58,0.02277435,6,531.58,0.02277435,6
wBTCb,UNKNOWN,,16571141.59,509.12521602,7071,16571141.59,509.12521602,7071
WCX,exchange,f88c240d-a9b6-11ea-b6eb-0adaa880d7fe,44836.82,0.93674,144,44836.82,0.93674,144
WCX,UNKNOWN,,9245.26,0.1771824,112,9245.26,0.1771824,112
WebMoney,criminal,f88c4f4c-a9b6-11ea-b6eb-0adaa880d7fe,9552.37,0.2559928,21,9552.37,0.2559928,21
WebMoney,dark market,f88c4a3b-a9b6-11ea-b6eb-0adaa880d7fe,99048.89,1.83457127,315,99048.89,1.83457127,315
WebMoney,exchange,f88c240d-a9b6-11ea-b6eb-0adaa880d7fe,422956696.93,12878.01148032,55090,422956696.93,12878.01148032,55090
WebMoney,faucet,f88c4c8e-a9b6-11ea-b6eb-0adaa880d7fe,3080.85,0.05245884,63,3080.85,0.05245884,63
WebMoney,gambling,f88c473a-a9b6-11ea-b6eb-0adaa880d7fe,70503959.06,1268.36169621,441,70503959.06,1268.36169621,441
WebMoney,high risk exchange,f88c5069-a9b6-11ea-b6eb-0adaa880d7fe,1081796.85,33.83453458,1638,15408777833.6,390210.48183019,90559
WebMoney,hyip,f88c4b56-a9b6-11ea-b6eb-0adaa880d7fe,505128.97,14.21886102,3591,505128.97,14.21886102,3591
WebMoney,miner,f88c4bfd-a9b6-11ea-b6eb-0adaa880d7fe,7392177.94,190.41301321,51877,7392177.94,190.41301321,51877
WebMoney,mixer,f88c486d-a9b6-11ea-b6eb-0adaa880d7fe,2831559.85,67.69836934,14,2831559.85,67.69836934,14
WebMoney,pool,f88c491b-a9b6-11ea-b6eb-0adaa880d7fe,1610934.66,37.18360982,3248,1610934.66,37.18360982,3248
WebMoney,ransomware,f88c4d1c-a9b6-11ea-b6eb-0adaa880d7fe,12613.11,0.3240629,14,12613.11,0.3240629,14
WebMoney,services,f88c49ad-a9b6-11ea-b6eb-0adaa880d7fe,11510778.28,295.60852167,11284,11510778.28,295.60852167,11284
WebMoney,wallet,f88c4daa-a9b6-11ea-b6eb-0adaa880d7fe,34920808.95,993.7282796,1358,34920808.95,993.7282796,1358
WebMoney,UNKNOWN,,868704450.69,24306.64333426,288785,868704450.69,24306.64333426,288785
WEEX,exchange,f88c240d-a9b6-11ea-b6eb-0adaa880d7fe,0,0,0,65034.05,3.34316456,16
WEEX,UNKNOWN,,270847.2,12.00758712,64,270847.2,12.00758712,64
WesternFidelity,exchange,f88c240d-a9b6-11ea-b6eb-0adaa880d7fe,2527.33,0.0682,10,2527.33,0.0682,10
WesternFidelity,UNKNOWN,,29778.88,1.0126054,30,29778.88,1.0126054,30
Wex.nz,exchange,f88c240d-a9b6-11ea-b6eb-0adaa880d7fe,1675.18,0.0342,36,1675.18,0.0342,36
Wex.nz,high risk exchange,f88c5069-a9b6-11ea-b6eb-0adaa880d7fe,7932.2,0.2106,18,7932.2,0.2106,18
Wex.nz,UNKNOWN,,2989.99,0.09614988,360,2989.99,0.09614988,360
WhaleEx,pool,f88c491b-a9b6-11ea-b6eb-0adaa880d7fe,93.12,0.00164565,15,93.12,0.00164565,15
WhaleFin,exchange,f88c240d-a9b6-11ea-b6eb-0adaa880d7fe,371813057.18,12168.53881392,4194,34679962341.65,1456276.67494122,16248
WhaleFin,gambling,f88c473a-a9b6-11ea-b6eb-0adaa880d7fe,123,0.0042,6,123,0.0042,6
WhaleFin,hyip,f88c4b56-a9b6-11ea-b6eb-0adaa880d7fe,108047.82,5.28487494,36,108047.82,5.28487494,36
WhaleFin,miner,f88c4bfd-a9b6-11ea-b6eb-0adaa880d7fe,12338229.63,412.00551462,438,12338229.63,412.00551462,438
WhaleFin,pool,f88c491b-a9b6-11ea-b6eb-0adaa880d7fe,15719615.25,445.34395476,1290,15719615.25,445.34395476,1290
WhaleFin,services,f88c49ad-a9b6-11ea-b6eb-0adaa880d7fe,663231.86,26.54154144,180,663231.86,26.54154144,180
