entity_name,category,txs_sent,usd_sent,txs_recieved,usd_recieved,Sent_Risk_Percentage,Recieved_Risk_Percentage
Bitkub,criminal,874,3737108.68,60.0,26049.24,0.0,0.0
Bitkub,dark market,1197,495040.61,1620.0,879128.84,0.0,0.0
Bitkub,gambling,6935,5719565.42,4040.0,3890396.05,0.0,0.0
Bitkub,high risk exchange,14421,47230733.68,3980.0,9079210.0,0.0,0.0
Bitkub,hyip,1482,1883993.15,800.0,1703275.32,0.0,0.0
Bitkub,mixer,76,278226.94,0.0,0.0,0.0,
Bitladon,dark market,40,6811.35,0.0,0.0,0.01,
Bitladon,gambling,48,6322.19,414.0,164380.75,0.01,0.0
Bitladon,high risk exchange,8,1768.69,0.0,0.0,0.0,
Bitlocus,criminal,8,59.44,0.0,0.0,0.13,
Bitlocus,gambling,26,143.37,0.0,0.0,0.18,
Bitlocus,high risk exchange,86,21510.07,96.0,1371.81,0.0,0.07
Bitlocus,hyip,14,1099.1,12.0,404.39,0.01,0.03
Bitmex.com,dark market,19,3848.98,0.0,0.0,0.0,
Bitmex.com,gambling,19,122.12,0.0,0.0,0.16,
Bitmex.com,high risk exchange,171,10130.78,0.0,0.0,0.02,
Bitmex.com,hyip,19,812.84,0.0,0.0,0.02,
Bitmynt,gambling,2,3386.79,6.0,1205.08,0.0,0.0
Bitmynt,high risk exchange,16,112383.0,0.0,0.0,0.0,
Bitnuvem,criminal,128,13469.73,6.0,314.14,0.01,0.02
Bitnuvem,gambling,392,21097.8,147.0,23305.54,0.02,0.01
Bitnuvem,high risk exchange,40,6322.24,3.0,222.66,0.01,0.01
Bitnuvem,hyip,128,74211.76,174.0,59802.35,0.0,0.0
BitoEX.com,criminal,187,74215.08,0.0,0.0,0.0,
BitoEX.com,gambling,5508,2870185.58,1728.0,768504.2,0.0,0.0
BitoEX.com,high risk exchange,1105,1251772.26,180.0,149522.14,0.0,0.0
BitoEX.com,hyip,187,313535.53,36.0,209291.03,0.0,0.0
Bitobmen,high risk exchange,54,4034.23,6688.0,1825533.37,0.01,0.0
Bitpanda,criminal,13950,6539963.51,342.0,343050.28,0.0,0.0
Bitpanda,dark market,38358,5822856.05,570.0,72083.61,0.01,0.01
Bitpanda,gambling,457578,136708886.11,105393.0,110826573.75,0.0,0.0
Bitpanda,high risk exchange,9900,5857021.92,342.0,1076979.21,0.0,0.0
Bitpanda,hyip,8478,6542289.34,6840.0,4875307.31,0.0,0.0
Bitpanda,mixer,2610,1808562.63,0.0,0.0,0.0,
Bitpanda,ransomware,36,91023.14,0.0,0.0,0.0,
BitpointLatam,high risk exchange,56,9165.92,0.0,0.0,0.01,
Bitrue,criminal,204,96403.27,18.0,719.15,0.0,0.03
Bitrue,dark market,221,112461.19,54.0,49565.5,0.0,0.0
Bitrue,gambling,3196,9869677.65,3240.0,5474668.88,0.0,0.0
Bitrue,high risk exchange,1547,2011435.05,558.0,3984395.37,0.0,0.0
Bitrue,hyip,85,440258.91,900.0,729642.89,0.0,0.0
Bitrue,mixer,136,2170067.73,0.0,0.0,0.0,
Bitsika,criminal,12,1410.32,78.0,1279.32,0.01,0.06
Bitsika,gambling,156,1240.2,52.0,694.79,0.13,0.07
Bitsika,high risk exchange,252,12330.04,13.0,325.96,0.02,0.04
Bitsika,hyip,276,3458.87,247.0,19455.43,0.08,0.01
Bitso.com,criminal,67034,10322798.84,1380.0,303594.01,0.01,0.0
Bitso.com,dark market,7326,484011.33,23.0,178.43,0.02,0.13
Bitso.com,gambling,309254,35489940.77,110883.0,25327596.02,0.01,0.0
Bitso.com,high risk exchange,125928,101283995.09,207.0,67313.56,0.0,0.0
Bitso.com,hyip,15554,6388940.69,15502.0,9815089.07,0.0,0.0
Bitso.com,mixer,462,291466.98,23.0,1855.62,0.0,0.01
Bitso.com,ransomware,44,229.64,0.0,0.0,0.19,
Bitstamp.net,criminal,55640,13502925.75,63.0,4879.92,0.0,0.01
Bitstamp.net,dark market,16320,1927509.32,42.0,3021.94,0.01,0.01
Bitstamp.net,gambling,717680,196698880.3,6804.0,70305441.19,0.0,0.0
Bitstamp.net,high risk exchange,26180,20828656.76,1743.0,9250726.11,0.0,0.0
Bitstamp.net,hyip,31440,14452853.74,3759.0,13053288.48,0.0,0.0
Bitstamp.net,mixer,2660,13982278.63,63.0,151603.35,0.0,0.0
Bitstamp.net,ransomware,20,6638346.21,0.0,0.0,0.0,
Bittrex.com,criminal,3078,4123212.66,209.0,180107.97,0.0,0.0
Bittrex.com,dark market,3132,426634.8,0.0,0.0,0.01,
Bittrex.com,gambling,17172,14151705.12,8151.0,10149570.4,0.0,0.0
Bittrex.com,high risk exchange,19746,44859792.61,2527.0,2265025.06,0.0,0.0
Bittrex.com,hyip,20520,23993740.25,3629.0,3954355.54,0.0,0.0
Bittrex.com,mixer,18,462.75,19.0,189668.92,0.04,0.0
Bittrex.com,ransomware,18,2210.81,0.0,0.0,0.01,
Bittylicious,criminal,15,2987.85,0.0,0.0,0.01,
Bittylicious,dark market,45,22624.92,0.0,0.0,0.0,
Bittylicious,gambling,45,16264.63,0.0,0.0,0.0,
Bittylicious,high risk exchange,15,3110.93,0.0,0.0,0.0,
Bittylicious,hyip,15,5095.93,0.0,0.0,0.0,
Bitvavo,criminal,1056,418333.04,34.0,240097.27,0.0,0.0
Bitvavo,gambling,2240,333985.55,8177.0,2957907.08,0.01,0.0
Bitvavo,high risk exchange,240,94278.0,85.0,69153.61,0.0,0.0
Bitvavo,hyip,16,231.75,1921.0,1423385.21,0.07,0.0
Bitvest,gambling,106,24039.58,51.0,17966.15,0.0,0.0
Bitvest,high risk exchange,16,3930.24,0.0,0.0,0.0,
Bitvo,criminal,90,10387.21,0.0,0.0,0.01,
Bitvo,gambling,234,608262.96,190.0,5067705.65,0.0,0.0
Bitvo,high risk exchange,198,1300896.06,0.0,0.0,0.0,
Bitvo,hyip,36,44253.57,95.0,67237.08,0.0,0.0
Bitvo,mixer,36,87632.85,0.0,0.0,0.0,
Bity,high risk exchange,51,36134.89,0.0,0.0,0.0,
Bitzlato,criminal,6120,573197.8,256.0,13700.19,0.01,0.02
Bitzlato,dark market,290310,215687517.07,359184.0,508267963.45,0.0,0.0
Bitzlato,gambling,37560,13620682.96,9760.0,7168143.19,0.0,0.0
Bitzlato,high risk exchange,80415,693139515.27,45296.0,57438323.23,0.0,0.0
Bitzlato,hyip,3060,1220884.38,12160.0,3635127.67,0.0,0.0
Bitzlato,mixer,510,649667.44,144.0,1365421.46,0.0,0.0
